Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2024-09-03,19.472243925327472,19.502047166988785,19.14936157794458,19.233808517456055,3679300,0.0,0.0,ACI
2024-09-04,19.20400420905651,19.571593329699937,19.00530707980337,19.14439582824707,3467000,0.0,0.0,ACI
2024-09-05,19.20400319910386,19.40270031790737,18.558240405366693,18.886089324951172,6866400,0.0,0.0,ACI
2024-09-06,18.955633919373945,19.035112392823294,18.32974117782487,18.349609375,6732100,0.0,0.0,ACI
2024-09-09,18.319805725858103,18.359544014244136,17.78332462077488,17.82306480407715,6314500,0.0,0.0,ACI
2024-09-10,17.882673342457487,17.952216768936,17.679009638520593,17.94228172302246,4226500,0.0,0.0,ACI
2024-09-11,17.982020371248833,18.439021074752212,17.952215236053185,18.409217834472656,4142600,0.0,0.0,ACI
2024-09-12,18.429086383974017,18.915894126947695,18.419153233633935,18.87615394592285,5320600,0.0,0.0,ACI
2024-09-13,18.975502586594228,19.035110963476175,18.866218983213884,18.935762405395508,2611200,0.0,0.0,ACI
2024-09-16,18.985438637164233,19.074852154679625,18.73706817626953,18.73706817626953,2766500,0.0,0.0,ACI
2024-09-17,18.796675458243687,18.826480593979742,18.13104258613417,18.419153213500977,3462900,0.0,0.0,ACI
2024-09-18,18.429087605621103,18.6377197799993,18.389349316878175,18.39928436279297,3177200,0.0,0.0,ACI
2024-09-19,18.478762246602347,18.488697292200687,18.230391791392414,18.439022064208984,4591200,0.0,0.0,ACI
2024-09-20,18.389348573099586,18.607913889636198,18.29496848310072,18.54830551147461,4229200,0.0,0.0,ACI
2024-09-23,18.46882620994786,18.478761255013076,18.312849981747764,18.409217834472656,4348800,0.0,0.0,ACI
2024-09-24,18.51850112393801,18.607914642254915,18.369479225048583,18.39928436279297,2650000,0.0,0.0,ACI
2024-09-25,18.37941318862736,18.39431480916389,18.180716071864932,18.30986976623535,2613800,0.0,0.0,ACI
2024-09-26,18.369478559181665,18.43902198314813,18.280065044105868,18.379413604736328,3113500,0.0,0.0,ACI
2024-09-27,18.379413271082313,18.40424993706001,18.250261471048628,18.369478225708008,2841600,0.0,0.0,ACI
2024-09-30,18.409218072648457,18.51849977994752,18.285032850100706,18.359542846679688,3998400,0.0,0.0,ACI
2024-10-01,18.28006512446792,18.448957109807324,18.28006512446792,18.439022064208984,2790300,0.0,0.0,ACI
2024-10-02,18.528435579677858,18.548305670874537,18.27013007886958,18.439022064208984,4883100,0.0,0.0,ACI
2024-10-03,18.349608468072336,18.43902198314813,18.23535828656797,18.379413604736328,4577700,0.0,0.0,ACI
2024-10-04,18.488697960137408,18.5880446298775,18.379414349523792,18.458892822265625,2129400,0.0,0.0,ACI
2024-10-07,18.478761482365073,18.478761482365073,18.11117239009385,18.13104248046875,2676100,0.0,0.0,ACI
2024-10-08,18.041628968697808,18.195619326729123,18.031693923510357,18.13104248046875,1735900,0.0,0.0,ACI
2024-10-09,18.0813697377553,18.339673341368904,18.041629555712483,18.319805145263672,1526600,0.0,0.0,ACI
2024-10-10,18.329739341754806,18.384379247158535,18.12110718552605,18.180715560913086,3102200,0.0,0.0,ACI
2024-10-11,18.190651035053456,18.289999592986053,18.116141037791106,18.250261306762695,2551900,0.0,0.0,ACI
2024-10-14,18.270129659478428,18.270129659478428,18.08136948219153,18.14097785949707,3012300,0.0,0.0,ACI
2024-10-15,18.349608720758734,18.463858903836403,18.076401596449863,18.329740524291992,3457100,0.0,0.0,ACI
2024-10-16,18.18071589470848,18.399283100000616,18.1459441838513,18.190650939941406,2616700,0.0,0.0,ACI
2024-10-17,18.180716071864932,18.37941318862736,18.041629227080918,18.30986976623535,2987800,0.0,0.0,ACI
2024-10-18,18.756935297764453,18.915894126947695,18.299934585475537,18.87615394592285,5422200,0.0,0.0,ACI
2024-10-21,18.92582818807478,18.975503416746406,18.597979258506935,18.617849349975586,5215300,0.0,0.0,ACI
2024-10-22,18.657588614641025,18.657588614641025,18.349607896783517,18.419153213500977,3950500,0.0,0.0,ACI
2024-10-23,18.37941297168232,18.816545486450195,18.299934504898715,18.816545486450195,2402100,0.0,0.0,ACI
2024-10-24,18.876153935733022,18.92582726707113,18.647653579711914,18.647653579711914,1845800,0.0,0.0,ACI
2024-10-25,18.677458235073583,18.682426705533356,18.2651642479773,18.290000915527344,2903600,0.0,0.0,ACI
2024-10-28,18.450000762939453,18.450000762939453,18.334999084472656,18.34000015258789,2299000,0.12,0.0,ACI
2024-10-29,18.329999923706055,18.405000686645508,17.889999389648438,18.010000228881836,5549400,0.0,0.0,ACI
2012-06-18,17000.0,17300.0,17000.0,17100.0,12770,0.0,0.0,0.0,ACL
2012-06-19,16800.0,17100.0,16800.0,16800.0,1210,0.0,0.0,0.0,ACL
2012-06-20,16800.0,17000.0,16800.0,17000.0,1120,0.0,0.0,0.0,ACL
2012-06-21,16900.0,17000.0,16800.0,16800.0,29270,0.0,0.0,0.0,ACL
2012-06-22,16900.0,17000.0,16500.0,16600.0,16070,0.0,0.0,0.0,ACL
2012-06-25,16800.0,17200.0,16400.0,16700.0,7060,0.0,0.0,0.0,ACL
2012-06-26,16500.0,16600.0,16200.0,16200.0,25050,0.0,0.0,0.0,ACL
2012-06-27,16400.0,16500.0,16200.0,16200.0,33840,0.0,0.0,0.0,ACL
2012-06-28,16300.0,16400.0,15700.0,15800.0,47320,0.0,0.0,0.0,ACL
2012-06-29,16000.0,16100.0,16000.0,16100.0,14400,0.0,0.0,0.0,ACL
2012-07-02,16100.0,16400.0,15800.0,15800.0,10550,0.0,0.0,0.0,ACL
2012-07-03,15800.0,15900.0,15700.0,15700.0,11470,0.0,0.0,0.0,ACL
2012-07-05,16000.0,16000.0,15900.0,15900.0,2600,0.0,0.0,0.0,ACL
2012-07-06,16000.0,16100.0,16000.0,16100.0,1300,0.0,0.0,0.0,ACL
2012-07-09,16200.0,16300.0,15900.0,16100.0,10760,0.0,0.0,0.0,ACL
2012-07-10,16000.0,16000.0,15800.0,16000.0,8130,0.0,0.0,0.0,ACL
2012-07-11,16200.0,16500.0,15800.0,16000.0,22000,0.0,0.0,0.0,ACL
2012-07-12,16300.0,16300.0,16000.0,16000.0,3820,0.0,0.0,0.0,ACL
2012-07-13,16000.0,16800.0,16000.0,16600.0,8,0.0,0.0,0.0,ACL
2012-07-16,16900.0,16900.0,15900.0,16100.0,7230,0.0,0.0,0.0,ACL
2012-07-17,16200.0,16400.0,16100.0,16400.0,28700,0.0,0.0,0.0,ACL
2012-07-18,16500.0,16500.0,16400.0,16400.0,27130,0.0,0.0,0.0,ACL
2012-07-19,16400.0,16700.0,16300.0,16700.0,17950,0.0,0.0,0.0,ACL
2012-07-20,16900.0,16900.0,16700.0,16900.0,18960,0.0,0.0,0.0,ACL
2012-07-23,16900.0,16900.0,16500.0,16800.0,2050,0.0,0.0,0.0,ACL
2012-07-24,16500.0,16800.0,16400.0,16600.0,8100,0.0,0.0,0.0,ACL
2012-07-25,16400.0,16400.0,16300.0,16400.0,650,0.0,0.0,0.0,ACL
2012-07-26,16600.0,16700.0,16300.0,16500.0,12870,0.0,0.0,0.0,ACL
2012-07-27,16700.0,16800.0,16500.0,16700.0,710,0.0,0.0,0.0,ACL
2012-07-30,16700.0,16800.0,16500.0,16700.0,710,0.0,0.0,0.0,ACL
2012-07-31,16200.0,16800.0,16100.0,16600.0,50050,0.0,0.0,0.0,ACL
2012-08-01,16700.0,16700.0,16200.0,16400.0,24680,0.0,0.0,0.0,ACL
2012-08-02,16200.0,16400.0,16200.0,16400.0,10920,0.0,0.0,0.0,ACL
2012-08-03,16800.0,16800.0,16800.0,16800.0,14700,0.0,0.0,0.0,ACL
2012-08-06,16800.0,16800.0,16400.0,16400.0,4360,0.0,0.0,0.0,ACL
2012-08-07,16400.0,16700.0,16400.0,16700.0,110,0.0,0.0,0.0,ACL
2012-08-08,16400.0,16700.0,16400.0,16600.0,5620,0.0,0.0,0.0,ACL
2012-08-09,16500.0,16800.0,16500.0,16500.0,5380,0.0,0.0,0.0,ACL
2012-08-10,16400.0,16600.0,16400.0,16600.0,1010,0.0,0.0,0.0,ACL
2012-08-13,16000.0,16600.0,16000.0,16600.0,1970,0.0,0.0,0.0,ACL
2012-08-14,16600.0,16600.0,16500.0,16600.0,2540,0.0,0.0,0.0,ACL
2012-08-15,16700.0,16700.0,16400.0,16400.0,21730,0.0,0.0,0.0,ACL
2012-08-16,16600.0,16700.0,16600.0,16700.0,30,0.0,0.0,0.0,ACL
2012-08-17,16500.0,16700.0,16400.0,16700.0,550,0.0,0.0,0.0,ACL
2012-08-20,16600.0,16600.0,16400.0,16400.0,3140,0.0,0.0,0.0,ACL
2012-08-21,16000.0,16000.0,15600.0,15700.0,47100,0.0,0.0,0.0,ACL
2012-08-22,15700.0,15700.0,15500.0,15500.0,21900,0.0,0.0,0.0,ACL
2012-08-23,15100.0,15200.0,14800.0,14800.0,90670,0.0,0.0,0.0,ACL
2012-08-24,14100.0,15500.0,14100.0,15500.0,12900,0.0,0.0,0.0,ACL
2012-08-27,15000.0,15800.0,14800.0,15800.0,22120,0.0,0.0,0.0,ACL
2012-08-28,15400.0,15600.0,15400.0,15600.0,3510,0.0,0.0,0.0,ACL
2012-08-29,15800.0,16000.0,15800.0,15800.0,24210,0.0,0.0,0.0,ACL
2012-08-30,16000.0,16000.0,15800.0,15800.0,2500,0.0,0.0,0.0,ACL
2012-08-31,15800.0,15800.0,15600.0,15600.0,9110,0.0,0.0,0.0,ACL
2012-09-04,15600.0,16000.0,15600.0,16000.0,2010,0.0,0.0,0.0,ACL
2012-09-05,16000.0,16000.0,15300.0,15300.0,2140,0.0,0.0,0.0,ACL
2012-09-06,15400.0,15600.0,15100.0,15100.0,20620,0.0,0.0,0.0,ACL
2012-09-07,15100.0,15300.0,15100.0,15300.0,10310,0.0,0.0,0.0,ACL
2012-09-10,15800.0,15800.0,15000.0,15600.0,360,0.0,0.0,0.0,ACL
2012-09-11,15600.0,15600.0,15000.0,15600.0,4870,0.0,0.0,0.0,ACL
2012-09-12,15900.0,15900.0,15600.0,15900.0,13680,0.0,0.0,0.0,ACL
2012-09-13,15800.0,15800.0,15300.0,15300.0,2800,0.0,0.0,0.0,ACL
2012-09-14,16000.0,16000.0,15500.0,15800.0,2330,0.0,0.0,0.0,ACL
2012-09-17,15300.0,15800.0,15300.0,15800.0,310,0.0,0.0,0.0,ACL
2012-09-18,15800.0,15800.0,15100.0,15100.0,17330,0.0,0.0,0.0,ACL
2012-09-19,15200.0,15200.0,15000.0,15100.0,11600,0.0,0.0,0.0,ACL
2012-09-20,15000.0,15000.0,14900.0,15000.0,2600,0.0,0.0,0.0,ACL
2012-09-21,15100.0,15100.0,14700.0,14700.0,1530,0.0,0.0,0.0,ACL
2012-09-24,14700.0,15000.0,14700.0,14700.0,7040,0.0,0.0,0.0,ACL
2012-09-25,14800.0,14800.0,14600.0,14600.0,2120,0.0,0.0,0.0,ACL
2012-09-26,14700.0,14800.0,14500.0,14600.0,5800,0.0,0.0,0.0,ACL
2012-09-27,14300.0,14700.0,14300.0,14600.0,5250,0.0,0.0,0.0,ACL
2012-09-28,14500.0,14600.0,14500.0,14500.0,1050,0.0,0.0,0.0,ACL
2012-10-01,14900.0,14900.0,14500.0,14500.0,680,0.0,0.0,0.0,ACL
2012-10-02,14000.0,14500.0,14000.0,14500.0,1010,0.0,0.0,0.0,ACL
2012-10-03,15000.0,15000.0,14400.0,14500.0,4230,0.0,0.0,0.0,ACL
2012-10-04,14500.0,14500.0,14500.0,14500.0,4080,0.0,0.0,0.0,ACL
2012-10-05,14500.0,14600.0,14400.0,14600.0,4680,0.0,0.0,0.0,ACL
2012-10-08,15000.0,15000.0,14600.0,15000.0,130,0.0,0.0,0.0,ACL
2012-10-09,14800.0,15000.0,14700.0,14700.0,2360,0.0,0.0,0.0,ACL
2012-10-10,14600.0,14800.0,14400.0,14800.0,1030,0.0,0.0,0.0,ACL
2012-10-11,15000.0,15000.0,14700.0,14700.0,2820,0.0,0.0,0.0,ACL
2012-10-12,14400.0,14900.0,14400.0,14900.0,20,0.0,0.0,0.0,ACL
2012-10-15,14500.0,14900.0,14500.0,14500.0,6140,0.0,0.0,0.0,ACL
2012-10-16,14600.0,14900.0,14600.0,14900.0,10180,0.0,0.0,0.0,ACL
2012-10-17,14900.0,14900.0,14900.0,14900.0,2420,0.0,0.0,0.0,ACL
2012-10-18,14800.0,14800.0,14800.0,14800.0,150,0.0,0.0,0.0,ACL
2012-10-19,14400.0,14800.0,14100.0,14100.0,18980,0.0,0.0,0.0,ACL
2012-10-22,14000.0,14000.0,14000.0,14000.0,13660,0.0,0.0,0.0,ACL
2012-10-23,13700.0,14000.0,13700.0,14000.0,4630,0.0,0.0,0.0,ACL
2012-10-24,14000.0,14000.0,13300.0,13800.0,6360,0.0,0.0,0.0,ACL
2012-10-25,13500.0,13600.0,13200.0,13600.0,3700,0.0,0.0,0.0,ACL
2012-10-26,13600.0,13600.0,13600.0,13600.0,550,0.0,0.0,0.0,ACL
2012-10-31,13500.0,13700.0,13500.0,13700.0,1210,0.0,0.0,0.0,ACL
2012-11-01,13600.0,13700.0,13600.0,13700.0,80,0.0,0.0,0.0,ACL
2012-11-02,13100.0,13900.0,13100.0,13600.0,8590,0.0,0.0,0.0,ACL
2012-11-05,13000.0,13000.0,13000.0,13000.0,2310,0.0,0.0,0.0,ACL
2012-11-06,13000.0,13000.0,12400.0,12400.0,7010,0.0,0.0,0.0,ACL
2012-11-07,12300.0,12300.0,11900.0,12200.0,7840,0.0,0.0,0.0,ACL
2012-11-08,11600.0,11800.0,11600.0,11600.0,5530,0.0,0.0,0.0,ACL
2012-11-09,11200.0,11400.0,11100.0,11400.0,14530,0.0,0.0,0.0,ACL
2012-11-12,11400.0,11500.0,11400.0,11500.0,18110,0.0,0.0,0.0,ACL
2012-11-13,11500.0,11600.0,11500.0,11600.0,9020,0.0,0.0,0.0,ACL
2012-11-14,11900.0,11900.0,11800.0,11800.0,2800,0.0,0.0,0.0,ACL
2012-11-15,11800.0,11800.0,11600.0,11600.0,8620,0.0,0.0,0.0,ACL
2012-11-16,11600.0,11600.0,11400.0,11400.0,15660,0.0,0.0,0.0,ACL
2012-11-19,11600.0,11700.0,11600.0,11600.0,18310,0.0,0.0,0.0,ACL
2012-11-20,11500.0,11500.0,11400.0,11500.0,12610,0.0,0.0,0.0,ACL
2012-11-21,11500.0,11500.0,11400.0,11500.0,3930,0.0,0.0,0.0,ACL
2012-11-23,11400.0,11500.0,11400.0,11400.0,3600,0.0,0.0,0.0,ACL
2012-11-26,11500.0,11600.0,11500.0,11500.0,25290,0.0,0.0,0.0,ACL
2012-11-27,11500.0,11600.0,11500.0,11500.0,15930,0.0,0.0,0.0,ACL
2012-11-28,11500.0,11700.0,11500.0,11600.0,19990,0.0,0.0,0.0,ACL
2012-11-29,11600.0,12100.0,11600.0,12100.0,16180,0.0,0.0,0.0,ACL
2012-11-30,12100.0,12100.0,12000.0,12000.0,1400,0.0,0.0,0.0,ACL
2012-12-03,11500.0,12000.0,11500.0,12000.0,1710,0.0,0.0,0.0,ACL
2012-12-04,12100.0,12600.0,12100.0,12100.0,2000,0.0,0.0,0.0,ACL
2012-12-05,12100.0,12200.0,12100.0,12200.0,4690,0.0,0.0,0.0,ACL
2012-12-06,12300.0,12300.0,12000.0,12000.0,2610,0.0,0.0,0.0,ACL
2012-12-07,12000.0,12000.0,11900.0,12000.0,4620,0.0,0.0,0.0,ACL
2012-12-10,12000.0,12200.0,12000.0,12200.0,4010,0.0,0.0,0.0,ACL
2012-12-11,12000.0,12100.0,12000.0,12000.0,3210,0.0,0.0,0.0,ACL
2012-12-12,11900.0,12000.0,11600.0,12000.0,13060,0.0,0.0,0.0,ACL
2012-12-13,11800.0,11900.0,11800.0,11900.0,110,0.0,0.0,0.0,ACL
2012-12-14,11900.0,11900.0,11800.0,11800.0,3080,0.0,0.0,0.0,ACL
2012-12-17,11700.0,12000.0,11600.0,12000.0,4970,0.0,0.0,0.0,ACL
2012-12-18,11700.0,11700.0,11600.0,11700.0,3340,0.0,0.0,0.0,ACL
2012-12-19,11700.0,11700.0,11700.0,11700.0,10490,0.0,0.0,0.0,ACL
2012-12-20,11700.0,11900.0,11700.0,11900.0,210,0.0,0.0,0.0,ACL
2012-12-21,11900.0,11900.0,11900.0,11900.0,3850,0.0,0.0,0.0,ACL
2012-12-24,11900.0,12000.0,11900.0,11900.0,9290,0.0,0.0,0.0,ACL
2012-12-26,11900.0,12000.0,11900.0,12000.0,13460,0.0,0.0,0.0,ACL
2012-12-27,11900.0,12600.0,11900.0,12200.0,24500,0.0,0.0,0.0,ACL
2012-12-28,12200.0,12600.0,12000.0,12600.0,4660,0.0,0.0,0.0,ACL
2012-12-31,12600.0,12600.0,12600.0,12600.0,0,0.0,0.0,0.0,ACL
2013-01-02,12500.0,12500.0,12500.0,12500.0,30600,0.0,0.0,0.0,ACL
2013-01-03,12500.0,12500.0,12100.0,12100.0,4650,0.0,0.0,0.0,ACL
2013-01-04,12100.0,12300.0,12100.0,12200.0,2720,0.0,0.0,0.0,ACL
2013-01-07,12200.0,12800.0,12200.0,12600.0,12700,0.0,0.0,0.0,ACL
2013-01-08,12500.0,13000.0,12300.0,13000.0,28220,0.0,0.0,0.0,ACL
2013-01-09,13000.0,13100.0,12600.0,12900.0,4170,0.0,0.0,0.0,ACL
2013-01-10,12800.0,12900.0,12500.0,12900.0,6550,0.0,0.0,0.0,ACL
2013-01-11,12900.0,13000.0,12700.0,12900.0,10000,0.0,0.0,0.0,ACL
2013-01-14,12900.0,12900.0,12500.0,12600.0,11500,0.0,0.0,0.0,ACL
2013-01-15,12800.0,12800.0,12800.0,12800.0,50,0.0,0.0,0.0,ACL
2013-01-16,12900.0,13000.0,12000.0,12700.0,12590,0.0,0.0,0.0,ACL
2013-01-17,12500.0,12600.0,12200.0,12600.0,1800,0.0,0.0,0.0,ACL
2013-01-18,12600.0,12600.0,11800.0,12000.0,8740,0.0,0.0,0.0,ACL
2013-01-22,12000.0,12000.0,11200.0,11600.0,18300,0.0,0.0,0.0,ACL
2013-01-23,11500.0,11600.0,11500.0,11500.0,1930,0.0,0.0,0.0,ACL
2013-01-24,11400.0,11600.0,11200.0,11600.0,2830,0.0,0.0,0.0,ACL
2013-01-25,11900.0,11900.0,11700.0,11700.0,11370,0.0,0.0,0.0,ACL
2013-01-28,11700.0,12000.0,11500.0,11700.0,34570,0.0,0.0,0.0,ACL
2013-01-29,11600.0,11700.0,11500.0,11500.0,86560,0.0,0.0,0.0,ACL
2013-01-30,11600.0,11800.0,11600.0,11800.0,2530,0.0,0.0,0.0,ACL
2013-01-31,11700.0,11800.0,11600.0,11800.0,13130,0.0,0.0,0.0,ACL
2013-02-01,11800.0,11800.0,11600.0,11700.0,15830,0.0,0.0,0.0,ACL
2013-02-04,11700.0,11700.0,11600.0,11700.0,7100,0.0,0.0,0.0,ACL
2013-02-05,11700.0,11700.0,11600.0,11600.0,380,0.0,0.0,0.0,ACL
2013-02-06,11700.0,11700.0,11300.0,11300.0,21220,0.0,0.0,0.0,ACL
2013-02-07,11200.0,11700.0,11100.0,11300.0,3320,0.0,0.0,0.0,ACL
2013-02-08,11600.0,12000.0,11400.0,12000.0,9350,0.0,0.0,0.0,ACL
2013-02-11,12000.0,12000.0,12000.0,12000.0,0,0.0,0.0,0.0,ACL
2013-02-12,12000.0,12000.0,12000.0,12000.0,0,0.0,0.0,0.0,ACL
2013-02-13,12000.0,12000.0,12000.0,12000.0,0,0.0,0.0,0.0,ACL
2013-02-14,12000.0,12000.0,12000.0,12000.0,0,0.0,0.0,0.0,ACL
2013-02-15,12000.0,12000.0,12000.0,12000.0,0,0.0,0.0,0.0,ACL
2013-02-19,12500.0,12500.0,11800.0,12000.0,46310,0.0,0.0,0.0,ACL
2013-02-20,11600.0,12000.0,11600.0,12000.0,4940,0.0,0.0,0.0,ACL
2013-02-21,11800.0,12200.0,11700.0,12000.0,10830,0.0,0.0,0.0,ACL
2013-02-22,11800.0,11900.0,11600.0,11700.0,16430,0.0,0.0,0.0,ACL
2013-02-25,12000.0,12000.0,12000.0,12000.0,110,0.0,0.0,0.0,ACL
2013-02-26,11800.0,11800.0,11600.0,11700.0,37480,0.0,0.0,0.0,ACL
2013-02-27,11700.0,11800.0,11700.0,11700.0,5560,0.0,0.0,0.0,ACL
2013-02-28,11700.0,11800.0,11700.0,11800.0,1100,0.0,0.0,0.0,ACL
2013-03-01,11600.0,11800.0,11600.0,11800.0,60,0.0,0.0,0.0,ACL
2013-03-04,11800.0,11800.0,11600.0,11600.0,15560,0.0,0.0,0.0,ACL
2013-03-05,11500.0,11700.0,11500.0,11600.0,5580,0.0,0.0,0.0,ACL
2013-03-06,11600.0,11700.0,11600.0,11700.0,2380,0.0,0.0,0.0,ACL
2013-03-07,11600.0,11700.0,11600.0,11600.0,9860,0.0,0.0,0.0,ACL
2013-03-08,11700.0,11800.0,11700.0,11800.0,15050,0.0,0.0,0.0,ACL
2013-03-11,11800.0,12000.0,11600.0,11900.0,20610,0.0,0.0,0.0,ACL
2013-03-12,12200.0,12200.0,11800.0,11900.0,2810,0.0,0.0,0.0,ACL
2013-03-13,11900.0,11900.0,11800.0,11900.0,10910,0.0,0.0,0.0,ACL
2013-03-14,11600.0,11900.0,11600.0,11900.0,1340,0.0,0.0,0.0,ACL
2013-03-15,11300.0,11800.0,11300.0,11600.0,25360,0.0,0.0,0.0,ACL
2013-03-18,11500.0,11600.0,11400.0,11600.0,6070,0.0,0.0,0.0,ACL
2013-03-19,11500.0,11600.0,11500.0,11600.0,3460,0.0,0.0,0.0,ACL
2013-03-20,11400.0,11600.0,11400.0,11600.0,950,0.0,0.0,0.0,ACL
2013-03-21,11400.0,11600.0,11400.0,11600.0,1530,0.0,0.0,0.0,ACL
2013-03-22,11000.0,11600.0,11000.0,11600.0,70,0.0,0.0,0.0,ACL
2013-03-25,11600.0,11600.0,11600.0,11600.0,100,0.0,0.0,0.0,ACL
2013-03-26,11400.0,11700.0,11400.0,11500.0,3740,0.0,0.0,0.0,ACL
2013-03-27,11500.0,11500.0,11500.0,11500.0,500,0.0,0.0,0.0,ACL
2013-03-28,11500.0,11500.0,11300.0,11500.0,1510,0.0,0.0,0.0,ACL
2013-04-01,11500.0,11800.0,11500.0,11500.0,15010,0.0,0.0,0.0,ACL
2013-04-02,11100.0,11500.0,11100.0,11500.0,16400,0.0,0.0,0.0,ACL
2013-04-03,11300.0,11400.0,11300.0,11300.0,13730,0.0,0.0,0.0,ACL
2013-04-04,11300.0,11500.0,11300.0,11500.0,2620,0.0,0.0,0.0,ACL
2013-04-05,11300.0,11300.0,11300.0,11300.0,83350,0.0,0.0,0.0,ACL
2013-04-08,11300.0,11300.0,11200.0,11200.0,26170,0.0,0.0,0.0,ACL
2013-04-09,11400.0,11400.0,11100.0,11100.0,115510,0.0,0.0,0.0,ACL
2013-04-10,11300.0,11500.0,11200.0,11200.0,570,0.0,0.0,0.0,ACL
2013-04-11,11200.0,11300.0,11200.0,11200.0,7180,0.0,0.0,0.0,ACL
2013-04-12,11200.0,11300.0,11200.0,11200.0,4280,0.0,0.0,0.0,ACL
2013-04-15,11200.0,11400.0,11200.0,11400.0,1970,0.0,0.0,0.0,ACL
2013-04-16,11400.0,11400.0,11200.0,11300.0,2660,0.0,0.0,0.0,ACL
2013-04-17,11500.0,11500.0,11100.0,11100.0,6110,0.0,0.0,0.0,ACL
2013-04-18,11300.0,11800.0,11200.0,11600.0,1270,0.0,0.0,0.0,ACL
2013-04-19,11600.0,11600.0,11600.0,11600.0,0,0.0,0.0,0.0,ACL
2013-04-22,11600.0,11600.0,11600.0,11600.0,5510,0.0,0.0,0.0,ACL
2013-04-23,11500.0,11500.0,11400.0,11400.0,110,0.0,0.0,0.0,ACL
2013-04-24,10800.0,11400.0,10700.0,11400.0,1470,0.0,0.0,0.0,ACL
2013-04-25,11400.0,11400.0,10900.0,11300.0,240,0.0,0.0,0.0,ACL
2013-04-26,10700.0,11200.0,10700.0,11200.0,11010,0.0,0.0,0.0,ACL
2013-04-29,11200.0,11200.0,11200.0,11200.0,0,0.0,0.0,0.0,ACL
2013-04-30,11200.0,11200.0,11200.0,11200.0,0,0.0,0.0,0.0,ACL
2013-05-01,11200.0,11200.0,11200.0,11200.0,0,0.0,0.0,0.0,ACL
2013-05-02,11000.0,11200.0,10700.0,11200.0,5060,0.0,0.0,0.0,ACL
2013-05-03,11200.0,11200.0,10900.0,11200.0,22170,0.0,0.0,0.0,ACL
2013-05-06,10500.0,11200.0,10500.0,11200.0,220,0.0,0.0,0.0,ACL
2013-05-07,11200.0,11200.0,11200.0,11200.0,28,0.0,0.0,0.0,ACL
2013-05-08,11000.0,11000.0,11000.0,11000.0,370,0.0,0.0,0.0,ACL
2013-05-09,11000.0,11000.0,11000.0,11000.0,750,0.0,0.0,0.0,ACL
2013-05-10,11200.0,11200.0,11200.0,11200.0,3510,0.0,0.0,0.0,ACL
2013-05-13,11300.0,11500.0,11200.0,11500.0,6040,0.0,0.0,0.0,ACL
2013-05-14,11200.0,11200.0,11200.0,11200.0,10450,0.0,0.0,0.0,ACL
2013-05-15,11400.0,11400.0,11300.0,11400.0,4420,0.0,0.0,0.0,ACL
2013-05-16,11200.0,11200.0,11200.0,11200.0,14670,0.0,0.0,0.0,ACL
2013-05-17,11200.0,11200.0,11200.0,11200.0,21000,0.0,0.0,0.0,ACL
2013-05-20,11100.0,11400.0,11000.0,11400.0,6180,0.0,0.0,0.0,ACL
2013-05-21,11400.0,11400.0,10700.0,10700.0,26010,0.0,0.0,0.0,ACL
2013-05-22,11300.0,11300.0,11300.0,11300.0,10,0.0,0.0,0.0,ACL
2013-05-23,11300.0,11300.0,10800.0,11300.0,2430,0.0,0.0,0.0,ACL
2013-05-24,10800.0,11000.0,10800.0,11000.0,620,0.0,0.0,0.0,ACL
2013-05-28,11000.0,11100.0,11000.0,11100.0,410,0.0,0.0,0.0,ACL
2013-05-29,11000.0,11000.0,11000.0,11000.0,4000,0.0,0.0,0.0,ACL
2013-05-30,11200.0,11200.0,11200.0,11200.0,10,0.0,0.0,0.0,ACL
2013-05-31,10800.0,11100.0,10800.0,11100.0,530,0.0,0.0,0.0,ACL
2013-06-03,10800.0,11000.0,10800.0,11000.0,3310,0.0,0.0,0.0,ACL
2013-06-04,11100.0,11100.0,10500.0,11000.0,24780,0.0,0.0,0.0,ACL
2013-06-05,11100.0,11200.0,11100.0,11200.0,9950,0.0,0.0,0.0,ACL
2013-06-06,11200.0,11200.0,11200.0,11200.0,0,0.0,0.0,0.0,ACL
2013-06-07,11100.0,11200.0,11100.0,11200.0,12400,0.0,0.0,0.0,ACL
2013-06-10,11200.0,11400.0,11200.0,11200.0,15260,0.0,0.0,0.0,ACL
2013-06-11,11000.0,11300.0,11000.0,11200.0,2430,0.0,0.0,0.0,ACL
2013-06-12,11000.0,11200.0,10800.0,10800.0,2170,0.0,0.0,0.0,ACL
2013-06-13,11200.0,11200.0,10800.0,10800.0,720,0.0,0.0,0.0,ACL
2013-06-14,11300.0,11300.0,10800.0,11200.0,6480,0.0,0.0,0.0,ACL
2013-06-17,11000.0,11000.0,11000.0,11000.0,4120,0.0,0.0,0.0,ACL
2013-06-18,10500.0,11200.0,10500.0,11200.0,360,0.0,0.0,0.0,ACL
2013-06-19,11200.0,11300.0,11100.0,11100.0,5610,0.0,0.0,0.0,ACL
2013-06-20,11100.0,11100.0,11100.0,11100.0,4560,0.0,0.0,0.0,ACL
2013-06-21,11100.0,11100.0,11100.0,11100.0,10,0.0,0.0,0.0,ACL
2013-06-24,10800.0,11800.0,10800.0,11800.0,20,0.0,0.0,0.0,ACL
